Rank_dir,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelRes_dir,ExpFrac_dir,ExpPct_dir
1,1,10-11,11,10,11 -> 10,0,0,0
1,2,10-11,10,11,10 -> 11,0,0,0
1,3,10-12,12,10,12 -> 10,0,0,0
1,4,10-12,10,12,10 -> 12,0,0,0
1,5,11-12,12,11,12 -> 11,0,0,0
1,6,11-12,11,12,11 -> 12,0,0,0
1,7,7-10,10,7,10 -> 7,0,0,0
1,8,7-10,7,10,7 -> 10,0,0,0
1,9,7-11,11,7,11 -> 7,0,0,0
1,10,7-11,7,11,7 -> 11,0,0,0
1,11,7-12,12,7,12 -> 7,0,0,0
1,12,7-12,7,12,7 -> 12,0,0,0
1,13,7-8,8,7,8 -> 7,0,0,0
1,14,7-8,7,8,7 -> 8,0,0,0
1,15,7-9,9,7,9 -> 7,0,0,0
1,16,7-9,7,9,7 -> 9,0,0,0
1,17,8-10,10,8,10 -> 8,0,0,0
1,18,8-10,8,10,8 -> 10,0,0,0
1,19,8-11,11,8,11 -> 8,0,0,0
1,20,8-11,8,11,8 -> 11,0,0,0
1,21,8-9,9,8,9 -> 8,0,0,0
1,22,8-9,8,9,8 -> 9,0,0,0
1,23,9-10,10,9,10 -> 9,0,0,0
1,24,9-10,9,10,9 -> 10,0,0,0
1,25,9-11,11,9,11 -> 9,0,0,0
1,26,9-11,9,11,9 -> 11,0,0,0
1,27,9-12,12,9,12 -> 9,0,0,0
1,28,9-12,9,12,9 -> 12,0,0,0
2,1,10-11,11,10,11 -> 10,0,0,0
2,2,10-11,10,11,10 -> 11,0,0,0
2,3,10-12,12,10,12 -> 10,0,0,0
2,4,10-12,10,12,10 -> 12,0,0,0
2,5,11-12,12,11,12 -> 11,0,0,0
2,6,11-12,11,12,11 -> 12,0,0,0
2,7,7-10,10,7,10 -> 7,0,0,0
2,8,7-10,7,10,7 -> 10,0,0,0
2,9,7-11,11,7,11 -> 7,0,0,0
2,10,7-11,7,11,7 -> 11,0,0,0
2,11,7-12,12,7,12 -> 7,0,0,0
2,12,7-12,7,12,7 -> 12,0,0,0
2,13,7-8,8,7,8 -> 7,0,0,0
2,14,7-8,7,8,7 -> 8,0,0,0
2,15,7-9,9,7,9 -> 7,0,0,0
2,16,7-9,7,9,7 -> 9,0,0,0
2,17,8-10,10,8,10 -> 8,0,0,0
2,18,8-10,8,10,8 -> 10,0,0,0
2,19,8-11,11,8,11 -> 8,0,0,0
2,20,8-11,8,11,8 -> 11,0,0,0
2,21,8-9,9,8,9 -> 8,0,0,0
2,22,8-9,8,9,8 -> 9,0,0,0
2,23,9-10,10,9,10 -> 9,0,0,0
2,24,9-10,9,10,9 -> 10,0,0,0
2,25,9-11,11,9,11 -> 9,0,0,0
2,26,9-11,9,11,9 -> 11,0,0,0
2,27,9-12,12,9,12 -> 9,0,0,0
2,28,9-12,9,12,9 -> 12,0,0,0
3,1,10-11,11,10,11 -> 10,0,0,0
3,2,10-11,10,11,10 -> 11,0,0,0
3,3,10-12,12,10,12 -> 10,0,0,0
